제시어,헤드라인,주요내용,발표일,출처(URL),중요도,대상 국가,점수,비고
관세,에이피알 이어 달바글로벌도 '트럼프 관세' 환급 신청 - v.daum.net,에이피알 이어 달바글로벌도 '트럼프 관세' 환급 신청&nbsp;&nbsp;v.daum.net,"Sun, 19 Apr 2026 21:21:07 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTE1HUXNKQXNBdUFkRllQYkRKTXZLb3VnanlnLUVpdjhXelpIV3phWUQ0WW51aGd0Z0dkbjdpRzRhWC1wUzNPR3RDV2s5SHoydms?oc=5,하,,5,
FTA,"충북FTA통상진흥센터, 2026년 FTA 원산지관리 특강 실시 - 충청타임즈","충북FTA통상진흥센터, 2026년 FTA 원산지관리 특강 실시&nbsp;&nbsp;충청타임즈","Sun, 19 Apr 2026 07:10:00 GMT",https://news.google.com/rss/articles/CBMiaEFVX3lxTFAyTV9WNmprbTJZemZncHAwUm5qOWZSMnB3dTNHdFdBTzh5cXBVR2dtVnAyTnlyLUszY2JtT1ZjTC1MbXVKQXdZYk5ZTnJrMTY1QzN4U2UzTzZKb0xiOHpmaHdOVGpwaDhw?oc=5,중,,7,
FTA,"충북FTA통상진흥센터, 청주대 GTEP 학생 대상 ‘FTA 원산지관리’ 실무특강 - 충청매일","충북FTA통상진흥센터, 청주대 GTEP 학생 대상 ‘FTA 원산지관리’ 실무특강&nbsp;&nbsp;충청매일","Sun, 19 Apr 2026 07:55:05 GMT",https://news.google.com/rss/articles/CBMiakFVX3lxTFBFbzBRTUlHYnFVQWJNMXZJNGZ0ZHFBSXBVYmM5YzhmemhJN2xhOHJIb2xmNExMQXBtdUp4ZzJCczJIZWlNLV92S0RaYmRzNlJEbmFIYTZpRGdCTnJ0TmJ1RGZGMUpTMF95M0E?oc=5,중,,7,
FTA,"충북FTA통상진흥센터, 청주대학교 GTEP 사업단 'FTA 원산지관리 특강' 실시 - 충북일보","충북FTA통상진흥센터, 청주대학교 GTEP 사업단 'FTA 원산지관리 특강' 실시&nbsp;&nbsp;충북일보","Sun, 19 Apr 2026 06:45:31 GMT",https://news.google.com/rss/articles/CBMiYkFVX3lxTE8wX2RJNkR5OERONjREWXN3a3VIWnFXTzhmQUREUFM1aDdWT1NXa1k1TUYtYndzOUJIOW8xVjhYUTJ1Ym4zZ0Fxd2FuaFg4MFhqbzY5M2h5SnpSVlE2WlNFSV9B?oc=5,중,,7,
FTA,"충북FTA통상진흥센터, 청주대 재학생 대상 FTA 원산지 실무 역량 강화 - 충청도민일보","충북FTA통상진흥센터, 청주대 재학생 대상 FTA 원산지 실무 역량 강화&nbsp;&nbsp;충청도민일보","Sun, 19 Apr 2026 08:57:18 GMT",https://news.google.com/rss/articles/CBMibEFVX3lxTFBDNXhWd2xQc3VqaHpKamNFNmttRDF1M2ZzMDVUSG1BWmYyM29iR2pERmJRXzN6dUZQelFBczlsTWN0YmZjVE1ibFVfcy1JdkFYTVRCR0Y5MjdVb3duSkJxSTZoNmpuaDRvNkNIYw?oc=5,중,,7,
원산지,봄 행락철 '염소·오리고기' 원산지 표시 일제점검 - v.daum.net,봄 행락철 '염소·오리고기' 원산지 표시 일제점검&nbsp;&nbsp;v.daum.net,"Sun, 19 Apr 2026 02:01:47 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTE5fTkV1dU9MaFVRVnlheHlGS0VjUlJySDc4Wi0yTzZRTWtYc2d6eXFoLWpXbVgtRzlpYmpnbF80bWtTSE5uM1ZMVGpaZEZnN2M?oc=5,하,,4,
원산지,"염소·오리고기 대체보양식으로 인기…농관원, 원산지 표시 일제 점검 - 노컷뉴스","염소·오리고기 대체보양식으로 인기…농관원, 원산지 표시 일제 점검&nbsp;&nbsp;노컷뉴스","Sun, 19 Apr 2026 02:00:00 GMT",https://news.google.com/rss/articles/CBMiUkFVX3lxTFA3RU1MWUhELUFmZWtCTUIyU2JaS2lVUjFuazBUWWFVYWc2UmNoc0ZXUXMxQXRzWkpwaTFpNHZOcFZEbFhQZGFzVXktLTFCU0JmUFE?oc=5,하,,4,
원산지,"염소·오리고기 원산지 속여 팔면 중형…농관원, 봄철 한 달간 집중단속 - 이투데이","염소·오리고기 원산지 속여 팔면 중형…농관원, 봄철 한 달간 집중단속&nbsp;&nbsp;이투데이","Sun, 19 Apr 2026 02:00:00 GMT",https://news.google.com/rss/articles/CBMiVEFVX3lxTE9ZZTJwb3UtUkh5empGenJyRUJVZnhHRE9jX2R1RHJvdWo4MjRGZmZET196bTZ5bmpTM2Yxa0E0RVV6emNqYUx6aUQ3MjA3VDM3V1V0dQ?oc=5,하,,4,
원산지,"봄 행락철, 염소·오리고기 원산지 표시 일제점검 실시 - 푸드아이콘","봄 행락철, 염소·오리고기 원산지 표시 일제점검 실시&nbsp;&nbsp;푸드아이콘","Sun, 19 Apr 2026 02:00:00 GMT",https://news.google.com/rss/articles/CBMibEFVX3lxTE04TUF2NDVXb2VDUjlvV3MwNFRVREFVdVlLNWxSaVI2RVltR3hPQjhZY3ZDcmlHaTBlZUhQVko4aDhzTTg5dzNyZy12NjZBSW9MUlJ6dU8zMlhGWmtyd09iaUJNamZ4WEV3blc5Zg?oc=5,하,,4,
원산지,"상호만 들어도 다 아는 강원 유명 식당, 원산지표시법 위반 잇따라 - v.daum.net","상호만 들어도 다 아는 강원 유명 식당, 원산지표시법 위반 잇따라&nbsp;&nbsp;v.daum.net","Sun, 19 Apr 2026 06:27:32 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTFBrM0xOMGtBTVp4b3Q1SWYxYVdpbFAyNG9sVVE3OTlOanR5VTlXMXF2VmxBRWtaRTBVT2tPaGxvbENOekp0MFdVWU10MUVBT1k?oc=5,하,,4,
원산지,봄 행락철 원산지 둔갑 잡는다… '염소·오리고기' 특별단속 - 세계일보,봄 행락철 원산지 둔갑 잡는다… '염소·오리고기' 특별단속&nbsp;&nbsp;세계일보,"Sun, 19 Apr 2026 03:49:35 GMT",https://news.google.com/rss/articles/CBMiWEFVX3lxTE84NHV2a3dlZlNzSDRLalZqbFNCcDl1YUUtaWUzQ1k3QkhBY3U4MlEzeEc0NXVwbS0zVHR4Z3REdzFsS09sd0wtR0NwZ2NBWWFpb2FCcFlScnbSAVRBVV95cUxQNG1GTzdYZ2pPNF9wUDZBSGVqeWV2c3pPbzM2THc2NUZNRGhicklTZENLTi1rUGdiUDNTVzl1dVVwdG55WThNT3djYUJqSkd5NHRyUkU?oc=5,하,,4,
원산지,"농관원, 염소·오리고기 원산지 특별단속…가정의 달 앞두고 집중 점검 - 푸드투데이","농관원, 염소·오리고기 원산지 특별단속…가정의 달 앞두고 집중 점검&nbsp;&nbsp;푸드투데이","Sun, 19 Apr 2026 22:59:38 GMT",https://news.google.com/rss/articles/CBMiZkFVX3lxTE9JYlBWdC14OUNOUkttUW9PNXdMWVV5S2tBSEhyRzlWdVpMWVJ0cjhwRnFkbG5OS3RfV0RHXzkyQkpTV096STNXSUNPMl9ENC14eHM4NE9wbDZjYmNmWlZxWjV6ZG1sUQ?oc=5,하,,4,
원산지,스테이크 원산지 ‘육우→한우’ 둔갑…4년간 손님 속인 업주 처벌 - 강원일보,스테이크 원산지 ‘육우→한우’ 둔갑…4년간 손님 속인 업주 처벌&nbsp;&nbsp;강원일보,"Sun, 19 Apr 2026 15:00:00 GMT",https://news.google.com/rss/articles/CBMiZEFVX3lxTFB2a3Z0WWE3UDJMSHZ4SkF2RW9jRGJ0YjBrVXk0ODB2N2ZRaHRJYndlTlFlSzBqdTk3OEhDUzFXekNzYlNDeWUyTDliejJOV1pqVmdfUWN3X0N2V2JaQktBWGhuOGg?oc=5,하,,4,
원산지,봄 보양식철 ‘국산 둔갑’ 막는다…염소·오리고기 원산지 특별점검 - 문화일보,봄 보양식철 ‘국산 둔갑’ 막는다…염소·오리고기 원산지 특별점검&nbsp;&nbsp;문화일보,"Sun, 19 Apr 2026 08:25:52 GMT",https://news.google.com/rss/articles/CBMiUEFVX3lxTE8xbXBLbzBKQ2ZKQ2Q2VWxnNWNscFIzOWZURG1xeEZFb3BzX2hJWmxvYUtEMEF4ZFJRQWE2V2RHeWc0emRXT2VmeTFnT2dOSUJF?oc=5,하,,4,
원산지,"국립농산물품질관리원, 봄 행락철, 염소·오리고기 원산지 표시 일제점검 실시 - 행정신문","국립농산물품질관리원, 봄 행락철, 염소·오리고기 원산지 표시 일제점검 실시&nbsp;&nbsp;행정신문","Sun, 19 Apr 2026 14:32:06 GMT",https://news.google.com/rss/articles/CBMibEFVX3lxTFBMcFNoRzA4dnN6Zk41THpSM0paZjZSSk1UT1BvUGpURi1TT1RpTjMySkJtZmItT2VTVWV5Snl1NUQtRFdVZjRMbUV3azdWYy1rNHA1M2duZ01HWHdOWVZmbFlwNkF0eXFFNDg3UQ?oc=5,하,,4,
원산지,봄 행락철 맞아 염소·오리고기 원산지 표시 특별단속 - 한국식품의약신문,봄 행락철 맞아 염소·오리고기 원산지 표시 특별단속&nbsp;&nbsp;한국식품의약신문,"Sun, 19 Apr 2026 04:03:48 GMT",https://news.google.com/rss/articles/CBMiZ0FVX3lxTFAxdnRGWVRzOVFaNmFhZk9hVjFGa3BVam9CblQ4SE5rZENzVENmdVVrSHE4eDlpT194ZjRUMFprYWRzRTFDeUtXSUxJVEI4U2d6Zm5FVEdVcG5NNW5WQXFWVkp1bTFfRnc?oc=5,하,,5,
원산지,봄철 보양식 '원산지 둔갑' 잡는다…염소·오리고기 집중 단속 - 뉴스1,봄철 보양식 '원산지 둔갑' 잡는다…염소·오리고기 집중 단속&nbsp;&nbsp;뉴스1,"Sun, 19 Apr 2026 02:00:00 GMT",https://news.google.com/rss/articles/CBMiWkFVX3lxTFA3REtmRzM2el9XdzRjLXBLVlRyODdfQzBnS2taaEt5RFRLckV0ZFNiWTZJUUhxSTRmYmVVbDFNVXl4Vlg2ajZxUlM0R3d0OGRFWkJaVDVRcXFlZw?oc=5,하,,4,
원산지,산업통상부는 5월 1일부터 원산지증명서 발급 관련 행정절차 36건을 간소화 및 개정했습니다. - Vietnam.vn,산업통상부는 5월 1일부터 원산지증명서 발급 관련 행정절차 36건을 간소화 및 개정했습니다.&nbsp;&nbsp;Vietnam.vn,"Sun, 19 Apr 2026 06:48:14 GMT",https://news.google.com/rss/articles/CBMiswFBVV95cUxNNWNUbERWMFNOUjFTZ09FeU9obUlHYnBRWDYxRnoxQzBvd0Rndll1ZmREdVl4ZkEtS0tKRmV6SEp0akg5RFJTZjdQYTI4bDVVNk9yb0ZnRXVIXzJGN1B2dEVmZlVxcUszMF95QmVrVnMxOU1XOV82dm5UWWs1UERKS3RGbVhBYld2NXRhdy1NeXd5OW93RHNQem4wTWxSTkNGamtCaE00X05WN3JkZkxhdHRaRQ?oc=5,중,,7,
원산지,"""보양식 시즌 노린 둔갑 차단""…염소·오리고기 원산지 특별단속 - newsis.com","""보양식 시즌 노린 둔갑 차단""…염소·오리고기 원산지 특별단속&nbsp;&nbsp;newsis.com","Sun, 19 Apr 2026 02:00:00 GMT",https://news.google.com/rss/articles/CBMiYEFVX3lxTE4yREhRcDBtRnRSdnB6TDczOWM3NnB3bGNhRmdRMjN6dDR6ZFJZNHpaNVBUb1B5dWJrRENoa1VHT3o5bUpoX05WUG02UTZYa1RWY0Z5b0p0XzhFRDNESnZqNdIBeEFVX3lxTFBTY0lqWXpqMDlZQXFnV2NkeFZZeEM3ck5ueFFOTjJudl9IN0VsTHpIai1lMzZ6UDk1dmE5WHY3bVNpN20xSWl6ZnZZWTRyQ0RyR2xxZHQxMWNvdWtsQll6bUY5Vml5dE81dkpXbTc4N012NTR3cXpkZw?oc=5,하,,4,
원산지,봄철 보양식 ‘원산지 둔갑’ 점검…염소·오리고기 집중 단속 - v.daum.net,봄철 보양식 ‘원산지 둔갑’ 점검…염소·오리고기 집중 단속&nbsp;&nbsp;v.daum.net,"Sun, 19 Apr 2026 03:56:05 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTE4zaW14azdTZTFYTERGNHdZaGFEVGU0bnZXVGRUZGNYWnVkc2F6angyMXJ4X3l5YjYxb2FFdzBkZ2s4SlEwTEliZEI1SXFnOEk?oc=5,하,,4,
원산지,봄철 보양식 ‘원산지 둔갑’ 잡는다…염소·오리고기 집중 단속 - 헤럴드경제,봄철 보양식 ‘원산지 둔갑’ 잡는다…염소·오리고기 집중 단속&nbsp;&nbsp;헤럴드경제,"Sun, 19 Apr 2026 02:00:00 GMT",https://news.google.com/rss/articles/CBMiVkFVX3lxTE5iUEJIOXRIaGhvQ1Q0QzI5c2VQNDQ0WWJLTEhPZlNXOUxDRkNwYjI0a3NmVlFMaHR1bTkxSVJBSGNFTzJzYXEyU3FDX1JUNWpXaDNheGhn?oc=5,하,,4,
