제시어,헤드라인,주요내용,발표일,출처(URL),중요도,대상 국가,점수,비고
관세,'K-스틸법' 오늘부터 시행…전기요금·EU 관세는 변수 - v.daum.net,'K-스틸법' 오늘부터 시행…전기요금·EU 관세는 변수&nbsp;&nbsp;v.daum.net,"Tue, 16 Jun 2026 21:49:00 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTE5Id2d0WnNJb0FHak9vS0pkSTdDb05ZdFNYMnpVY2gzVVZGNmRhbGs0cUl1Uk1ILTdBR3V2ZEpaSVZYZG1jYk5UQlVEc21WcHM?oc=5,중,,7,
관세,미국 추가관세 부과로 브라질 수출품 54%이상 피해 예상-- CNI - 파이낸셜뉴스,미국 추가관세 부과로 브라질 수출품 54%이상 피해 예상-- CNI&nbsp;&nbsp;파이낸셜뉴스,"Tue, 16 Jun 2026 00:23:44 GMT",https://news.google.com/rss/articles/CBMiWkFVX3lxTE1zeWs3SkQ3SkVZUFVRbXRiZFctNjFFbXdoWU1BLXd2UHRsU1NXZEpNLU5QbGtjS0xzWU9kRHZLV2RSdUU1ZnBXZmJneFp1VE5YcXpCcnZlSTd6UQ?oc=5,중,,10,
관세,"관세청 관세국경인재개발원, 제32차 관세행정 능력배양 세미나 개최 - 물류신문","관세청 관세국경인재개발원, 제32차 관세행정 능력배양 세미나 개최&nbsp;&nbsp;물류신문","Tue, 16 Jun 2026 06:20:01 GMT",https://news.google.com/rss/articles/CBMia0FVX3lxTE9KMW50NEJObFVHVnhTdTNPVXVVelk5ZjRvZVN0bWc0dXRJcVgzbFdSV2NjVTNSbzdNYXk2V1Bnc0lGbndNcHRtMVpPdGktQkYwTGE4SXRubHVVSW51cjUzaXJKLXA3YkxSLU9n?oc=5,하,,5,
관세,EU 탄소 관세의 습격… 中 철강업계 ‘터무니없는’ 규제 장벽에 비명 - 글로벌이코노믹,EU 탄소 관세의 습격… 中 철강업계 ‘터무니없는’ 규제 장벽에 비명&nbsp;&nbsp;글로벌이코노믹,"Tue, 16 Jun 2026 20:40:00 GMT",https://news.google.com/rss/articles/CBMiiAFBVV95cUxPQVRwbTZ3eDFrTXB6VlNXWHlYd01aanFqMWtnN21WaU9LMHNzbDlJakdsNzZ5OXgzWGtXeW05U1ZSNFhySGRhcldhTWFHc2JZcXZaNGp3SUdhTWhrYjByd1BMc1pUNHVxZFdzbzZOUnlTX3Q2Z2g0UUxTWmNfMUU5NTRpQmFyZFJZ?oc=5,하,,5,
관세,"다카이치·트럼프, G7서 5분간 짧은 환담...중동·관세 협력 확인 - 뉴스핌","다카이치·트럼프, G7서 5분간 짧은 환담...중동·관세 협력 확인&nbsp;&nbsp;뉴스핌","Tue, 16 Jun 2026 22:54:00 GMT",https://news.google.com/rss/articles/CBMiXEFVX3lxTE5zX2dsRDA0UzNzc1ZkYXdoRFZhNGd2bU5mWWxZMzBVWC1vUjFhSWpyXzhpRVo4eWFrT3VqUHRxUFZhZVp6QWpOSG8zbkxZcmpVNnExMVdPU1RxNDQ5?oc=5,하,,5,
관세,"한국 선진 관세행정, 아·태 및 아프리카 세관에 전한다 - 조세플러스","한국 선진 관세행정, 아·태 및 아프리카 세관에 전한다&nbsp;&nbsp;조세플러스","Tue, 16 Jun 2026 07:43:18 GMT",https://news.google.com/rss/articles/CBMibEFVX3lxTE90X2txZmN6UGNDeWtWRzE0ZFRWbld2NTRQSFRzaVlLQlFzZ1Z1SDBXTGR0dEo2RGVGdTdJRjhxM0pIcEtLSWc0WmltdHdvVDJiVnFGZkNMZkgwdF8zNFJKdkhzZGRLWUtqZG5HTQ?oc=5,하,,6,
관세,"EU 의회, 미국 수입 관세 인하 승인…무역 협정 이행 - Investing.com 한국어","EU 의회, 미국 수입 관세 인하 승인…무역 협정 이행&nbsp;&nbsp;Investing.com 한국어","Tue, 16 Jun 2026 10:53:00 GMT",https://news.google.com/rss/articles/CBMicEFVX3lxTE54M0tzb1pJT2RhQUhnYXdxOXhjRVVSSXpCcFBwOHpnY2M2VjVtdkpEM3NRWC11cjh3bnFGOHhzajhGcllZV0ZwUWFRNTdPaWF1QVlmbl9ERkRoWUpObVl5RWZnY2JKaVFUcTdyY3F4enY?oc=5,하,,6,
관세,관세50% 빗장걸어 잠근 EU…정부·철강업계 총력대응 - 경제타임스,관세50% 빗장걸어 잠근 EU…정부·철강업계 총력대응&nbsp;&nbsp;경제타임스,"Tue, 16 Jun 2026 05:13:55 GMT",https://news.google.com/rss/articles/CBMiU0FVX3lxTE9reXJ5LWwxTGwwU1VxdkNrUk4xbTZyS3NxTXZyRUxwR19Oc2htRkVfRDY1OVJXV052MGtxR3BhcGdnaXJSQ1oxdHBoN1hsRlk2RWQ4?oc=5,하,,5,
관세,"美 연방대법원 ""트럼프 1기 중국 관세 유효하다"" 판결 - 더구루","美 연방대법원 ""트럼프 1기 중국 관세 유효하다"" 판결&nbsp;&nbsp;더구루","Tue, 16 Jun 2026 04:40:06 GMT",https://news.google.com/rss/articles/CBMiY0FVX3lxTE8tMEEyWEZqcFpQN3FkZlB6V3JWbTNad20wR1kzMWI2eXZjeE5BNDVTNXJMNlBWTi0yNWI3NHBCWUp5eF9Rc3NmZmpPWk5nUWJ5THJmRzlDVnA1a3FieGJJeTB2WQ?oc=5,하,,6,
관세,"국회 입법 공백, 강제노동 관세 12.5% 빌미 됐다 - 시민언론 뉴탐사","국회 입법 공백, 강제노동 관세 12.5% 빌미 됐다&nbsp;&nbsp;시민언론 뉴탐사","Tue, 16 Jun 2026 08:46:27 GMT",https://news.google.com/rss/articles/CBMiR0FVX3lxTE1ZZlZwTVZoRkNLNkZsNFp1Um9GYmNTZ1MtaDgxbzMzc3Fscl9HOHdwY29FRE1kUG9TcUpPeF9Fal81YXc1VjBr?oc=5,하,,5,
관세,K-스틸법에도 못 웃는 철강업계…탈탄소·관세·노란봉투법 ‘산 넘어 산’ - 에너지경제신문,K-스틸법에도 못 웃는 철강업계…탈탄소·관세·노란봉투법 ‘산 넘어 산’&nbsp;&nbsp;에너지경제신문,"Tue, 16 Jun 2026 09:30:00 GMT",https://news.google.com/rss/articles/CBMiW0FVX3lxTE1jQUoxZldRdFg2dWt3NWx0LVh2US1qVHUzMTFSdkhLZFlDRU04Z0w0NmxxWmJzMzFadE1ZZUlrUUxqNFFwZ3pZajZockdLYzdLUVhKWDhhbnRLdFE?oc=5,하,,5,
FTA,"대구FTA통상진흥센터, 'FTA원산지증명서 발급 실무교육 및 대구지역 중점업종 설명회'개최 - 대경일보","대구FTA통상진흥센터, 'FTA원산지증명서 발급 실무교육 및 대구지역 중점업종 설명회'개최&nbsp;&nbsp;대경일보","Tue, 16 Jun 2026 07:51:53 GMT",https://news.google.com/rss/articles/CBMiaEFVX3lxTFBaMmtDMXBnYkU3Z0VBbWFPWHBVSFNyb3YyZXJlVjZHQzFyYkR3N2kzVmtiS2VqcTlicVllUE9vNUI0SVV2WXRZOXZ1V2p3Tk9CWnlUN3NSTlNfT2UtVlVKVlI4Rk9Zbm5B?oc=5,중,,7,
FTA,"대구상의·세관, FTA 원산지증명서 발급 실무교육 - 뉴스1","대구상의·세관, FTA 원산지증명서 발급 실무교육&nbsp;&nbsp;뉴스1","Tue, 16 Jun 2026 05:14:58 GMT",https://news.google.com/rss/articles/CBMiX0FVX3lxTE10ZGhrMVI0V2QycHdHNXBadlZ6cHRMdTJiVHpiWW0yRzc1N0dPNzE5WnBLNnJOTk1nLTZySk9JNlV3V2Q4RDRmcUY0cng0Mjc0eF9hZkQtS3U5QzFFSUxN?oc=5,중,,7,
FTA,"정부, 몽골 CEPA 이달 재개·한·중 FTA 연내 타결 추진 - v.daum.net","정부, 몽골 CEPA 이달 재개·한·중 FTA 연내 타결 추진&nbsp;&nbsp;v.daum.net","Tue, 16 Jun 2026 02:01:50 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTE9hQS1YZ3U1ekoyajd3Y3k2cGl4SFlnR1V2SXZya1czaVp0ZmFkak5zWXZNTWZpWGQtVmozb2pnbkFxd0E3YUJfanVNS19qTUk?oc=5,하,,4,
FTA,"통상망 넓히고 美 통상압박 대응…정부, FTA·301조 전략 점검 - 서울뉴스통신","통상망 넓히고 美 통상압박 대응…정부, FTA·301조 전략 점검&nbsp;&nbsp;서울뉴스통신","Tue, 16 Jun 2026 02:00:00 GMT",https://news.google.com/rss/articles/CBMia0FVX3lxTE03OVRyNGc5eENoOFlYQjFKWDN1OHY5S29hVzV3Ml8tNExLRFZlWE5aSUdaelZJd0tTXy10ZUFyLTVTMXc3QzFBLUpmRHJjcjBwenlYc3dOS2Z6VFFpeUw1QnVneHlWRC12V1dN?oc=5,하,,4,
FTA,"대구FTA통상진흥센터, 'FTA원산지증명서 발급 실무교육 및 대구지역 중점업종 설명회' 개최 - 뉴스프리존","대구FTA통상진흥센터, 'FTA원산지증명서 발급 실무교육 및 대구지역 중점업종 설명회' 개최&nbsp;&nbsp;뉴스프리존","Tue, 16 Jun 2026 04:45:16 GMT",https://news.google.com/rss/articles/CBMic0FVX3lxTE42bU5Ha3ZrSnNKTWVOemstR1pIbERESGw5OVhqSklLNnFvaXN2cF9PZFdhUGlsckRMd3RpUDZ0S25Fd3FXcGlyenB3WEZlQUJHSzN6RnlubjMxOWVJTllGSzhHUHh2MDl3U3BCb29tREY2WFXSAXdBVV95cUxPNnZqdFh3TlppVGY0NmtNNzkwcW9uQk04VU10c2lQMFg3anFoS1V6UEk0WE5ncUtreE02enlRaVFSVWRQUVRieUxCMFlQc19UakloZVFtLURzTmoyTTNFUy14a2xZUFpoZ3l2cTFNM3FHT2dTTEE3TQ?oc=5,중,,7,
FTA,한·중 FTA 2단계 연내 타결 목표…몽골·모로코 통상 네트워크 확대 - 네이트,한·중 FTA 2단계 연내 타결 목표…몽골·모로코 통상 네트워크 확대&nbsp;&nbsp;네이트,"Tue, 16 Jun 2026 02:00:00 GMT",https://news.google.com/rss/articles/CBMiU0FVX3lxTE9sRFFKMEtpSjI2LTVHbjMxblRGYk9qYjFtZjdJcXVmdVhuWmVabHZ2dlF5UFB0TW1jdnN3YXNYdThPTVowdUFqYWpzV3ZmMjBKSWhJ?oc=5,하,,4,
원산지,"[경제/생활] 베트남 소비자 사로잡은 ‘원산지 이미지’… 한국 ‘디자인’, 일본 ‘신뢰’로 승부 - 굿모닝베트남미디어","[경제/생활] 베트남 소비자 사로잡은 ‘원산지 이미지’… 한국 ‘디자인’, 일본 ‘신뢰’로 승부&nbsp;&nbsp;굿모닝베트남미디어","Tue, 16 Jun 2026 10:10:03 GMT",https://news.google.com/rss/articles/CBMicEFVX3lxTE1WOG5ENDBkaXQ4R1ZJNVByTUx4R2FkSmtnbGJOcWVzTGlJQURMX1V5ZTJIeEhKdmVoVnJvNlBOLXJmV2VJVlBGZFFaOVpOdi12UXRQaWF1bU1ySzNXTGZmXzZaamJqNldKUElBRlc1aFQ?oc=5,하,,6,
원산지,내년 개고기 금지… ’흑염소’ 원산지 위반도 기승 - 연합뉴스TV,내년 개고기 금지… ’흑염소’ 원산지 위반도 기승&nbsp;&nbsp;연합뉴스TV,"Tue, 16 Jun 2026 14:11:00 GMT",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE5IRFNJa0lBbENTdTlGYXF5Q1NpcDM5U3FIRDNwM3FZdHRiNVFMaGdaVVRucEhHaVpLeFBlRThEcjNVYXJSTUxVZTZoZHZya3hDZ0p5ajVjRmhZQWNIcldlNHlaWUhYVHM?oc=5,하,,5,
원산지,배달앱 영수증 원산지 표시 생략 움직임···오리협회 “시기상조” 들썩 - 한국농어민신문,배달앱 영수증 원산지 표시 생략 움직임···오리협회 “시기상조” 들썩&nbsp;&nbsp;한국농어민신문,"Tue, 16 Jun 2026 08:44:53 GMT",https://news.google.com/rss/articles/CBMibEFVX3lxTE53TWVVckRubkJlOXZJWEVLNWhXYXFTbmxVcmMycUhYLW1PUmd2b0t2OTF6Nm1kRTZkTWRSc1NBWkhuR1lNdEJDV29WSUdPZV9IZ0hzaGxkTFpRb19PR1JxOS02cXBtTmE1OXdadQ?oc=5,하,,5,
원산지,"대구FTA통상진흥센터, 'FTA원산지증명서 발급 실무교육 및 대구지역 중점업종 설명회' 개최 - 뉴스프리존","대구FTA통상진흥센터, 'FTA원산지증명서 발급 실무교육 및 대구지역 중점업종 설명회' 개최&nbsp;&nbsp;뉴스프리존","Tue, 16 Jun 2026 04:51:13 GMT",https://news.google.com/rss/articles/CBMid0FVX3lxTE82dmp0WHdOWmlUZjQ2a003OTBxb25CTThVTXRzaVAwWDdqcWhLVXpQSTRYTmdxS2t4TTZ6eVFpUVJVZFBRVGJ5TEIwWVBzX1RqSWhlUW0tRHNOajJNM0VTLXhrbFlQWmhneXZxMU0zcUdPZ1NMQTdN0gF3QVVfeXFMTzZ2anRYd05aaVRmNDZrTTc5MHFvbkJNOFVNdHNpUDBYN2pxaEtVelBJNFhOZ3FLa3hNNnp5UWlRUlVkUFFUYnlMQjBZUHNfVGpJaGVRbS1Ec05qMk0zRVMteGtsWVBaaGd5dnExTTNxR09nU0xBN00?oc=5,중,,7,
원산지,내년 개고기 금지…'흑염소' 원산지 위반도 기승 - 네이트,내년 개고기 금지…'흑염소' 원산지 위반도 기승&nbsp;&nbsp;네이트,"Tue, 16 Jun 2026 14:13:00 GMT",https://news.google.com/rss/articles/CBMieEFVX3lxTE95NVNqSmw0Tml2YVFvMjR0Y3Z1cTZnMGY2S1MzS2h4OTkyNVh0N0NTcWxEa1BmREVudk9MZk9vRHFfMlNmUUpWTi1aRVMwRlFOejJOQnhEbHNrWnhzeFQ4T2Ytdk5QTW9Ha0MwWjVieldhR2w4aE1ONA?oc=5,하,,4,
수출통제,"“미국, 앤트로픽 ‘미토스’ 수출 통제…‘중국 연계 의혹’ 한국 통신사 때문” - 경향신문","“미국, 앤트로픽 ‘미토스’ 수출 통제…‘중국 연계 의혹’ 한국 통신사 때문”&nbsp;&nbsp;경향신문앤트로픽 '미토스 수출통제' 美정부와 면담…""AI 안전조치 설명""&nbsp;&nbsp;뉴스1[글로벌 워치]앤트로픽 미토스 수출 통제에 韓 통신사?…""中 연관 의심 회사 발견"" By EBN&nbsp;&nbsp;Investing.com 한국어앤트로픽 AI 수출통제에 韓 통신사 의혹…통신3사 ""연관 없다""&nbsp;&nbsp;v.daum.net""미, 외국 군사정보기관의 악용 우려에 미토스 수출통제""&nbsp;&nbsp;연합뉴스“美, 첨단AI 수출통제 뒤엔… 中연계 의심 韓통신사” 논란&nbsp;&nbsp;동아일보미국 정부, 앤트로픽 수출 통제...원인은 기술 아닌 '소통'&nbsp;&nbsp;지디넷코리아""미국인 아니면 접근금지""‥'핵무기급' 수출 통제에 'AI 종속' 우려&nbsp;&nbsp;MBC 뉴스'미토스' 수출통제에 발등에 불 韓…소버린AI 힘받는다&nbsp;&nbsp;아시아경제","Tue, 16 Jun 2026 13:18:00 GMT",https://news.google.com/rss/articles/CBMiWkFVX3lxTE9nSWNWVWlXNDRSTXhqSF9OemR6em9YNXZ1dGdsUXlmcmVDNDdHTGU2V21Td2RUN1hfQnhxb2xYd0l1SVR4c2tONkhhX0gyemdtVC05bXJaTGdhUdIBX0FVX3lxTE9DdlZLRHNaWXRlX2FuNlRTU1VHcC1RNzJtRVFpdC1jbXJJNkdPS0JfWGY3UFJaWWlIQlB6ZkN1c2d3N3llYVpGTDh2Mnl1Q0tqOHZuejVScTNDcy1QM0cw?oc=5,하,,3,
수출통제,"中, 핵심 광물 ‘3중 비축’ 체계 가동… 수출통제 넘어 생산·물류까지 국가 관리 - 조선일보","中, 핵심 광물 ‘3중 비축’ 체계 가동… 수출통제 넘어 생산·물류까지 국가 관리&nbsp;&nbsp;조선일보","Tue, 16 Jun 2026 08:49:00 GMT",https://news.google.com/rss/articles/CBMingFBVV95cUxQclNWNGlCLVFQU1JXc0lteTkzUG9KU3RaeVhmRy1xUHc5eEJ3Q3VFY2o5Q3RJS1ZseXlaZjdvSVlleDJCa1RzWmdYWTFOUjdCeEdmblF3cDRBLVZCTFE1UWc3ZGo1dmZfZVBkVFVnMVNuRlE4ZW9KdFEtU295aVRHdFBfcWZHV2Q0d3h2RlRTZHJlWWloaHFWdVJqOEhVZw?oc=5,하,,1,
수출통제,"美, 앤트로픽 AI 수출 통제…배경엔 韓 이통사 ‘中 연루설’ - IT조선","美, 앤트로픽 AI 수출 통제…배경엔 韓 이통사 ‘中 연루설’&nbsp;&nbsp;IT조선","Tue, 16 Jun 2026 16:03:37 GMT",https://news.google.com/rss/articles/CBMidEFVX3lxTFBUMWhOMHV0UDZSUmVscTdQcGpUTkxPNTl6Q0J3TmlPMmIyN0RJLVdQaUl0TjRXc3VkQmN5ZHlEZkRoTVZ3WHpaVmdOSTBLZ0QwLUE4aHhKeXZrNG1QUEZTQ2dOZXNqTTdMQTUtQmpldDJDZHVs0gF0QVVfeXFMUFQxaE4wdXRQNlJSZWxxN1BwalROTE81OXpDQndOaU8yYjI3REktV1BpSXRONFdzdWRCY3lkeURmRGhNVndYelpWZ05JMEtnRDAtQThoeEp5dms0bVBQRlNDZ05lc2pNN0xBNS1CamV0MkNkdWw?oc=5,하,,1,
수출통제,"[글로벌 워치]앤트로픽 미토스 수출 통제에 韓 통신사?…""中 연관 의심 회사 발견"" - ebn.co.kr","[글로벌 워치]앤트로픽 미토스 수출 통제에 韓 통신사?…""中 연관 의심 회사 발견""&nbsp;&nbsp;ebn.co.kr","Tue, 16 Jun 2026 21:52:38 GMT",https://news.google.com/rss/articles/CBMiaEFVX3lxTE1CX2xFQkVCWVNONUJTYnN2OEEzV3FlWVVLbjlwc2FzTUllRUdOMjRGelBGMHFYRXhNaUV5bi1QcGxZalVVYkVZR3RVNWpmZnB5MUFIOExESkRES3lzVGt2TnJNZU1JTEVj?oc=5,하,,1,
수출통제,중국산 장비가 트리거였나…앤트로픽 수출규제에 韓 통신사 '불똥' - v.daum.net,중국산 장비가 트리거였나…앤트로픽 수출규제에 韓 통신사 '불똥'&nbsp;&nbsp;v.daum.net,"Wed, 17 Jun 2026 00:14:09 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTFBSSWE0YnNlRkdlVzdMbXR6cDBSYXktVG5mNnNsak1uSFpoRzBuSGVhaWVPWkdzQzJOQlFOLVZHU1ZnRnVxbW1tdmpscnNEenM?oc=5,하,,2,
수출통제,"“중국 연계 의혹 한국 통신사에 AI 제공”…미 정부, 앤트로픽 수출통제 - 한겨레","“중국 연계 의혹 한국 통신사에 AI 제공”…미 정부, 앤트로픽 수출통제&nbsp;&nbsp;한겨레","Tue, 16 Jun 2026 10:27:00 GMT",https://news.google.com/rss/articles/CBMib0FVX3lxTE1HdGdZS09OLVVSa0NucmZqeC1XSmV5Z2tOWjNzR0JLZEhHTDJhbmhUT24tak9XNlBoOUtiVUVQTnBQLU8yeG5IOGVkR0xqR1lKTzdrMWFUVkJZbURkaGhmcHo3dWxSeFpid1RSNXlpRQ?oc=5,하,,3,
수출통제,"""앤스로픽 모델 수출 통제 트리거는 韓기업"" - 한국경제","""앤스로픽 모델 수출 통제 트리거는 韓기업""&nbsp;&nbsp;한국경제","Tue, 16 Jun 2026 08:36:17 GMT",https://news.google.com/rss/articles/CBMiVEFVX3lxTFBQdWd3WEVoWVhPaUtvRldDLXJMN3lIUmNrQTM4cnk5TU5NU2U4T3BCa2otcHVtcXhDOGFNMHhmalBOazcxcjEySXlGQ1RiQzlXNUZ6bdIBVEFVX3lxTFBQdWd3WEVoWVhPaUtvRldDLXJMN3lIUmNrQTM4cnk5TU5NU2U4T3BCa2otcHVtcXhDOGFNMHhmalBOazcxcjEySXlGQ1RiQzlXNUZ6bQ?oc=5,하,,2,
수출통제,"앤트로픽 AI 수출통제에 韓 통신사 의혹…통신3사 ""연관 없다"" - 아이뉴스24","앤트로픽 AI 수출통제에 韓 통신사 의혹…통신3사 ""연관 없다""&nbsp;&nbsp;아이뉴스24","Tue, 16 Jun 2026 11:08:47 GMT",https://news.google.com/rss/articles/CBMiS0FVX3lxTFByM3k0aWc0ZXJHRzhfM1FaQUJuWEZuYUdrTEVqcUZxZ1A0bDFyNFh6S0VHNldLLTdyZ09jc25qM3NXUnNkTm1KRkRBOA?oc=5,하,,1,
수출통제,"“미국, 중국·러시아 등 악용 우려에 미토스 수출통제” - v.daum.net","“미국, 중국·러시아 등 악용 우려에 미토스 수출통제”&nbsp;&nbsp;v.daum.net","Tue, 16 Jun 2026 06:00:48 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTFBDMjlrZlllVGJiSTFUMWdmbFdMd2Q2Q2dSQjcxeWZoNUs0cXFxTHZQNzNIUFZYSG40azlSSE5TWWE0TFFBQU5IWHNzdWVBTGM?oc=5,하,,2,
수출통제,"""미, 외국 군사정보 기관의 악용 우려에 미토스 수출 통제"" - v.daum.net","""미, 외국 군사정보 기관의 악용 우려에 미토스 수출 통제""&nbsp;&nbsp;v.daum.net","Tue, 16 Jun 2026 06:27:00 GMT",https://news.google.com/rss/articles/CBMiRkFVX3lxTE0ySDlqYUJqZ21HUzJqQ054THp1emJGU3h5cjVvY3BiQ08wV2RHa21VQkh6VmNoNlVWb1ZfTkN6TFVhV3g5QXc?oc=5,하,,1,
