제시어,헤드라인,주요내용,발표일,출처(URL),중요도,대상 국가,점수,비고
관세,"엄광열 영월산업진흥원장, 한국관세학회 선정 ‘관세대상’ 수상 - v.daum.net","엄광열 영월산업진흥원장, 한국관세학회 선정 ‘관세대상’ 수상&nbsp;&nbsp;v.daum.net","Mon, 01 Jun 2026 21:50:00 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTFB4b1I0aHNlM2tENjhkbk9faEc5M0dZUVg1S1hSeE1DUUdYLXcxcHhsMUQ1MUdTdFY4eUJ2OWpSOW56WFNKZU96UGZzM3BtNFE?oc=5,하,,6,
관세,"美·인도, 무역협정 막판 조율…쟁점은 ‘301조 관세’ - 아시아투데이","美·인도, 무역협정 막판 조율…쟁점은 ‘301조 관세’&nbsp;&nbsp;아시아투데이","Mon, 01 Jun 2026 23:51:27 GMT",https://news.google.com/rss/articles/CBMibkFVX3lxTFBpNGlRclk5VzZPcGQ2dmY0a2pib1lkWGFGZFhjRHAxVHA5enJZdVk4R2RFZlE0Wk1XWlEyeUpCeWMtWjJlcDN0eGc2NDZsS2pvYzMtNDJVbnNvUDI5OU9JU21zeklzQUdiX0ZEWExn?oc=5,하,,6,
관세,"“관세 폭탄 전에 싹쓸이”... 美, 구리 사재기 광풍에 ‘톤당 13,735달러’ 사상 최고가 베팅 - 글로벌이코노믹","“관세 폭탄 전에 싹쓸이”... 美, 구리 사재기 광풍에 ‘톤당 13,735달러’ 사상 최고가 베팅&nbsp;&nbsp;글로벌이코노믹","Mon, 01 Jun 2026 23:18:30 GMT",https://news.google.com/rss/articles/CBMiiAFBVV95cUxQb0g3SUZNeGdtSXJUNi12NkFjZ3BIVXVGc1ZpR29WeWwzb3B1V0tJS2RsbklyN1hCbktmYkk4SEQ1T2VhWUFJNjk3cENBdWticTJncGxQejN5YlpEMXNIYjh5MUF3TERVbndoNUFHWmt2ZktxOU1TVXFBR3l0aGV5SHB1d181dEND?oc=5,하,,5,
관세,中 도금강판 반덤핑 공청회 7월 개최…잠정관세 이어 본조사 절차 진행 - 철강금속신문,中 도금강판 반덤핑 공청회 7월 개최…잠정관세 이어 본조사 절차 진행&nbsp;&nbsp;철강금속신문,"Mon, 01 Jun 2026 23:07:00 GMT",https://news.google.com/rss/articles/CBMiakFVX3lxTE5uY2JEZEJEd3pmbTNjaWFiUkJDejk3V2NhRmI0czVhYTNGUnMzSlVReWdnZUh2Tk9vQWU0S0I1b3g1dEdWY2RvRnBSUnJhVHp4b0lOeGdzMEhORGxjUlhDbVphSFN1NVRUWkE?oc=5,하,,5,
관세,"관세평가분류원, 반도체 등 수출 품목분류 제도개선 추진 - 물류신문","관세평가분류원, 반도체 등 수출 품목분류 제도개선 추진&nbsp;&nbsp;물류신문","Mon, 01 Jun 2026 06:26:28 GMT",https://news.google.com/rss/articles/CBMia0FVX3lxTE10RHBEQmdqcU5yN3RTTWJ3YjFERENsZFQxSTlSeGoxbnQ3YVB3amQ0bnM3QzlNVERBVnB5R2V1aE05UlVQYUFXTkJJWmtuN0YwUmg1NzdRczhBd2NzcDJXQTktUVVxTjItanBB?oc=5,하,,5,
관세,"美 5월 제조업 PMI 55.1 예상치 하회…""관세·이란 불확실성 부담"" - 블루밍비트","美 5월 제조업 PMI 55.1 예상치 하회…""관세·이란 불확실성 부담""&nbsp;&nbsp;블루밍비트","Mon, 01 Jun 2026 13:45:17 GMT",https://news.google.com/rss/articles/CBMiUEFVX3lxTFBqSmdFd1hzWHMyUk1WVnhzZ0tLRXQ0QXEzN2gwcHRvajBLR2J1WmI4bFZ4eWpEUHloTHNuWGM4MFh6Vy1uWTMtVEt3eEVQOXNO?oc=5,하,,5,
관세,‘랍스터의 반란’... 트럼프 핵심 지지층 흔든 관세 역풍 - 조선비즈 - Chosunbiz,‘랍스터의 반란’... 트럼프 핵심 지지층 흔든 관세 역풍 - 조선비즈&nbsp;&nbsp;Chosunbiz,"Mon, 01 Jun 2026 05:15:00 GMT",https://news.google.com/rss/articles/CBMingFBVV95cUxQZGRXOUlWc3ZvZzF3MEg5LTBSck5UN2VjTjRQb1c1am9xMzFTdXJaX2hLcXU2b0NtSmJnS0FQaFg0NHJjZ0pXTnRXZ0RFektmX3M3YXBPZEtNNnY2bzVwRWxRQmFpZi1iVGszUlBRMndZNFFCeG5ucWJESHN4Q0owU3U2WDhNVXJGX1dJQTh4X3VKMWdTZGJZQmlCaGRRZ9IBsgFBVV95cUxObl9xeVNNY2p5dU8wVTVNZkc4eEt0elg1cWtGVzhzMTlBNEJxQUlTZk5wZkNOZVNqRU55d1dwbHFFSnVlcHRLczBCU0hRLUdvS3pnSndBcVdmYUs1bmpPXzRsRXZXTVY2el9Gcy1UTDQydG1zVkM4MWNYMldROV92T0ZONG9YOXRxRGdmQ3ItVXNETDVndlVGS1VINlpiU2F2cGJuV0FuOG9HS2lMVm9WWjJ3?oc=5,하,,5,
관세,"관세청, 관세 가상계좌 납부 금융기관 확대 된다 - 시사일보","관세청, 관세 가상계좌 납부 금융기관 확대 된다&nbsp;&nbsp;시사일보","Mon, 01 Jun 2026 09:43:00 GMT",https://news.google.com/rss/articles/CBMiTEFVX3lxTFBybnBabTR3cnB0NG1xZUNSUTFtVnFVQWpqOUptLUlaSlhKTXR2Wk9uYXUtTW5JTkZZeG5Qc2laUl9UZ2tiRWpEbzUxc3Q?oc=5,하,,5,
관세,"피터 쉬프 ""트럼프발 인플레 폭탄, 진짜 원인은 관세나 전쟁 아니다"" - Benzinga","피터 쉬프 ""트럼프발 인플레 폭탄, 진짜 원인은 관세나 전쟁 아니다""&nbsp;&nbsp;Benzinga","Mon, 01 Jun 2026 12:00:34 GMT",https://news.google.com/rss/articles/CBMi2gJBVV95cUxNQlRWSVR6UnY4THJ6U0xGUGR6bTJfMUNQb2V4Y3Y4RmhHazBjbmRFQU5IekotUjNzU2huQklOUG42MUppRWpVQjZOdEJiSC1EZEdNbzJBZVF2bENTN0NEWEEwNndvanJhWXZnWGRtQTVDV3BMMzBYdVdHLVVTeHoxQWctTGZIelRNa2s0LTNPemUtMTQ0cGFNX0hCRkQ0MFMycWhZUWU4cENRNnM5all6WlotUkpmZkMyelYtUWg5V3VYM09JYnhLUHA0QUplbXc4U3R0QVhQSEYzM0ttLWFhUlktYTdvalpmZ1drVjJ3NkREWmZYOTBSeWpIRkRBWXFPRlNuNzFNRm9rVEkxNTZaeGltRnI2Y0dGbXdnOFgwbWtHNzNXdnZiSFBqT2ozQVBYOGNwMXFZbkhhOWRJVkdFQlQ3bG5scnp0cG0zR2hHcjhCNmZnSUphMmxB?oc=5,하,,5,
관세,"산업부, '통상법무정책' 제11호 발간…美 관세·WTO 개혁 논의 본격화 - 페로타임즈","산업부, '통상법무정책' 제11호 발간…美 관세·WTO 개혁 논의 본격화&nbsp;&nbsp;페로타임즈","Mon, 01 Jun 2026 02:45:31 GMT",https://news.google.com/rss/articles/CBMibEFVX3lxTE5vcGdSUEI4Y19pemplZ2hCYkJqWll1d0UtdGRIa0RXSklBMndxSFdRY19UZFA3N3UxMnFkNllTV0pnZDhNRHBQbktITFhkelpQMlA5TUNaRnhFTGk1WFhoSS1ORVU3WlROZ0tVLQ?oc=5,하,,5,
관세,관세·중동·성수기까지… 해운운임 1년 5개월만 최고 - v.daum.net,관세·중동·성수기까지… 해운운임 1년 5개월만 최고&nbsp;&nbsp;v.daum.net,"Mon, 01 Jun 2026 08:56:52 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTE5VeDVDS2E1ajN5RjA4VWxDOGVZemswNlNocjZjSHo1Uml4VlhjYXlSSUJyMWhaNEpSeGNNVUotWjBXRk1rMklwSmtjZlpaZ3M?oc=5,하,,5,
관세,[특징주] EU 철강 관세에 노조 임단협까지…철강주 약세 - 연합뉴스,[특징주] EU 철강 관세에 노조 임단협까지…철강주 약세&nbsp;&nbsp;연합뉴스,"Mon, 01 Jun 2026 01:42:29 GMT",https://news.google.com/rss/articles/CBMiW0FVX3lxTE5UaDZVUjRSNklmRlliRENERllBUlFlY3NKSUNSNTZNVFRPR1dEOVIzc0NGY25ZNFBLQkwtampGWTRGWURnRko4NEg4cWYxVFdsdTladGxHaVdXdmPSAWBBVV95cUxNc0RQMEs5UkpBZWxjY2RrRGRuTl9DVUpmOEV6WEljR0NTOUVmZDBTS2RBWlNwV1dzS0tRRkFYZnJvX1FVUjZvcG1oLXlEVWNXTGIyY1pRbVUyZWtqaDAyWWo?oc=5,하,,5,
관세,[김용태 교수의 관세 이야기] 반덤핑관세 부과대상 동관의 품목분류 - 조세금융신문,[김용태 교수의 관세 이야기] 반덤핑관세 부과대상 동관의 품목분류&nbsp;&nbsp;조세금융신문,"Mon, 01 Jun 2026 02:27:41 GMT",https://news.google.com/rss/articles/CBMiY0FVX3lxTE5SVVhVcXpudWNLWWVST2trVnVZQWZ4OGF3QUo5Z3czT3BFS2J1a0cyOXdHRmlVZWlDTkNQcXFWMnhYZTZ1VnpBWDI5b2I0djF3aTNXNGgxYVNTbGIyTS1WS3QwYw?oc=5,하,,5,
FTA,[FTA 활용 성공 사례] N사-패션 - 한국무역협회-KITA.NET,[FTA 활용 성공 사례] N사-패션&nbsp;&nbsp;한국무역협회-KITA.NET,"Mon, 01 Jun 2026 07:52:30 GMT",https://news.google.com/rss/articles/CBMijAFBVV95cUxNLTdaV2xQSEN3aTBHNnktNDh3ODRFUVo4UTc3My05c3NHVVdYb2x6aFFqTk5oNHB3WDl6dG9yR0s1aU54ZWRGVWJpLXNQRU0wWHhpZDFSZEY0WjF1V2NtcTcwWFk4dmM2d2ZmMGttMTJfdldwck9KQkkwT0hQaUluLUJsNVVEYUZZaFJHSg?oc=5,하,,5,
FTA,"경기도 뷰티기업, 체코·오스트리아 수출상담회서 계약 추진 339만 달러 - the-biz.co.kr","경기도 뷰티기업, 체코·오스트리아 수출상담회서 계약 추진 339만 달러&nbsp;&nbsp;the-biz.co.kr","Mon, 01 Jun 2026 22:31:14 GMT",https://news.google.com/rss/articles/CBMibEFVX3lxTFA0Wm44eWtkSGx5eTI0VW1aOVB6RHktbVpUOFdxVzJDZTlHOG5nVFQ1ODM0c3R3WGc3V3IwcUU3ZVFDaFZKNWlSOENFWnlDVmRhNjFITXlhTktpVVlsWEUwSkhaX3BtVG9XaE9jMg?oc=5,하,,1,
원산지,"대구세관, ‘원산지 인증수출자’ 자격 취득 지원 - hidomin.com","대구세관, ‘원산지 인증수출자’ 자격 취득 지원&nbsp;&nbsp;hidomin.com","Mon, 01 Jun 2026 09:52:29 GMT",https://news.google.com/rss/articles/CBMiakFVX3lxTE9nQkE0TTVfR0VzVmp1b2V3WlFBZnNtb3UtZGpyVkNLRzYtOGFwY2VlUVdRTG9KdXNzcEotUmZlVnJLTGcxdFVHYVYzM0staU9DaXZ2d0VKLW1ZeXY1R0JoR3YwMkRDZUVrOFE?oc=5,하,,4,
원산지,"농관원 전남지원, POS 단말기 연계 '원산지 자가진단' 도입 - 푸드투데이","농관원 전남지원, POS 단말기 연계 '원산지 자가진단' 도입&nbsp;&nbsp;푸드투데이","Mon, 01 Jun 2026 05:46:10 GMT",https://news.google.com/rss/articles/CBMiZkFVX3lxTFBiYnlYMEdJbG1Sc0NlZ1VKa1NScVRwZ3UxU1BnTTM0Um00MkRvcC1LTWpCb0dKRjdBWFdPU3JSWEVXeGJJWTdvZnl6LVFYU3FObWFVYmsyQmZrWFJ6ZGY4OWlxLUo3Zw?oc=5,하,,4,
원산지,수입산 멸균우유 14배 늘었는데…원산지 표시 공백 [기자수첩-정책경제] - 네이트,수입산 멸균우유 14배 늘었는데…원산지 표시 공백 [기자수첩-정책경제]&nbsp;&nbsp;네이트,"Mon, 01 Jun 2026 22:00:00 GMT",https://news.google.com/rss/articles/CBMiU0FVX3lxTE5wY0NudmZReWN2UUpxempSaVVVbWo5YklWbV9rRF90X0wwRzBSSndVcDlZZVBHVzRKajNvWGNJNmdLR2pkbW9iV0F3VnBXc256ZjNR?oc=5,하,,4,
원산지,"경기도 특사경, 대형 베이커리 조사…원산지 표시 위반 잡는다 - 경기신문","경기도 특사경, 대형 베이커리 조사…원산지 표시 위반 잡는다&nbsp;&nbsp;경기신문","Mon, 01 Jun 2026 02:33:54 GMT",https://news.google.com/rss/articles/CBMiYkFVX3lxTE80bXExWUJzRnFlYWYzUkJONzB6S2hpMFlPb25NUHZMR1ZIblE5c3otbjB0SVdrN0Y2ekVQRVNlc2NmZlFablJiZFhuRktWcThXN1lMLWZIcU9IVVFXNEU0aTdn?oc=5,하,,4,
원산지,"경기도, 대형 베이커리·디저트 카페 집중단속…원산지·허위광고·불법개발행위 점검 - 뉴시니어","경기도, 대형 베이커리·디저트 카페 집중단속…원산지·허위광고·불법개발행위 점검&nbsp;&nbsp;뉴시니어","Mon, 01 Jun 2026 01:23:45 GMT",https://news.google.com/rss/articles/CBMiY0FVX3lxTE80SDhicHBkX0JybWZTT3pFdV9OMG5KYzdaamY4LVdMaWZMN3VSYVZsSG9iek1BeDFERHdjWWxuLWdZaXlWS0dlSG5aWnBvNEJIQ1VZWENiTkJtYzNaVGRYOVQzcw?oc=5,하,,4,
원산지,"경기도 특사경, 대형 베이커리 카페 210곳 집중단속 - 데일리엔뉴스","경기도 특사경, 대형 베이커리 카페 210곳 집중단속&nbsp;&nbsp;데일리엔뉴스","Mon, 01 Jun 2026 08:25:29 GMT",https://news.google.com/rss/articles/CBMiWkFVX3lxTE1DZ1U4UlhvUGM1YkswWDZSVFdJUm9PdjhxbG1IV015ZGJRNUp1VVA5aW1JaDlNT0xGbkxiSXZWWlQyc0NpYkZubnNweXotRk9zakQwZjdmT3RsZw?oc=5,하,,1,
원산지,대형 카페 열풍의 민낯…원산지 허위표시부터 주차장 무단 형질변경 등 - 글로벌이코노믹,대형 카페 열풍의 민낯…원산지 허위표시부터 주차장 무단 형질변경 등&nbsp;&nbsp;글로벌이코노믹,"Mon, 01 Jun 2026 01:40:54 GMT",https://news.google.com/rss/articles/CBMiiwFBVV95cUxQNHo3d1pNQTh4dlBlUHJxSEI3TDBwdFVib0M3ZjlOdi11S2tIb1dYRXdKQlliSW1wYlNYTFFpYy1wTEE0b20xZ1dIOVA0SnBlYW9QNVVaWmd1TDRBenNYZjJmb0V4dmg2aUYyckRaYlFONXc5b1pvbnlpX3JaNXB2V2VnbmhVZ1lXYWpv?oc=5,하,,4,
원산지,미국은 자동차 원산지에 대한 규제를 강화하고 있다. - Vietnam.vn,미국은 자동차 원산지에 대한 규제를 강화하고 있다.&nbsp;&nbsp;Vietnam.vn,"Mon, 01 Jun 2026 07:37:13 GMT",https://news.google.com/rss/articles/CBMicEFVX3lxTE9xMGdxUW5iUExLZ19IWEtwNmhyZjZCY0I3UXk4Ql9NS2pIX1pzaUIxRmY2N1FaUmYtZW9uemt2RFVBbVJuQllqZHJta1pyZWhmTWNPYTRKLXdndEo3Q3RLU0JfcjRRa2I1VFlFdWUxRXk?oc=5,하,,5,
수출통제,"美, 中기업 해외 자회사에도 첨단 반도체 수출 금지 - 조선일보","美, 中기업 해외 자회사에도 첨단 반도체 수출 금지&nbsp;&nbsp;조선일보美, AI칩 中 우회수출 차단…“해외 자회사도 규제”&nbsp;&nbsp;서울경제美, 中기업 해외법인에도 엔비디아·AMD AI칩 수출 규제&nbsp;&nbsp;뉴스핌","Mon, 01 Jun 2026 15:33:00 GMT",https://news.google.com/rss/articles/CBMigwFBVV95cUxNQ0RKTVROZFN5LVVGWkJZZ3VueHp2ODZUc3lacVBWMUN5ODVkQkRVY1hYY2dTai1WVkNEREpHMzBsSEtibFdFZFU2Q29tUF9tQk0tSWhGRklodnpLdU1kQVpLNjJVazhNaV8ydUJZWk5waFd5aUcxUEZSb3VuYndCZW5tbw?oc=5,하,,1,
수출통제,"서플러스글로벌, AI 기반 수출통제 자동화 기술 특허 등록 - v.daum.net","서플러스글로벌, AI 기반 수출통제 자동화 기술 특허 등록&nbsp;&nbsp;v.daum.net","Mon, 01 Jun 2026 02:03:10 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTE5FWGxDTlRiNG5CR1JDd1BKaXJvX3l6M2hoT0RQUUJGOFgxYUtWLU1yeWRvOTVSWWF4YnExUjIyZEtmcXNFVDhvWmw1TmZvUGs?oc=5,하,,1,
수출통제,"인니, 원자재 수출관리기구 출범…석탄·팜유·페로합금 수출 통제 본격화 By The Guru - Investing.com 한국어","인니, 원자재 수출관리기구 출범…석탄·팜유·페로합금 수출 통제 본격화 By The Guru&nbsp;&nbsp;Investing.com 한국어","Mon, 01 Jun 2026 01:31:00 GMT",https://news.google.com/rss/articles/CBMicEFVX3lxTE56ZGw0REpPOUdxa0lrTVNJclYxVkRNUjh4azNRbmNrQW92R0pXazNLRHdDaEx4M00wLXAtc3g2WnBhYTdVMmhiMUV5dGlKVFozcjJJenlCRmg3UWVseE56RkFDdzg0ZGtHM2lPeTdSbkE?oc=5,하,,2,
수출통제,전쟁 리스크 비웃은 반도체 슈퍼사이클…5월 수출 877억弗(종합2보) - 뉴시스,전쟁 리스크 비웃은 반도체 슈퍼사이클…5월 수출 877억弗(종합2보)&nbsp;&nbsp;뉴시스,"Mon, 01 Jun 2026 02:51:26 GMT",https://news.google.com/rss/articles/CBMiYEFVX3lxTE10b2dzQXZqZW41ZFhDdGVGblA4Y1dQZ0NQVENrQk94eW00ZmJ5Q0J0MjV6X19jUGctdG9QcTRLcFQwOWVHR1Azb0lUUDBzTDI4M1ltR0hBbHNTcVcxWlNqddIBeEFVX3lxTE92WHZuQzVVT20wZ2FuYWJvbDkyLWxGbWxpTWZSTV9WLWVkX21wTkxzTkVtNjJGNmVtb3BTM05ENHhIT1FIdEtnbjJ1aDVtdk9WcW1SczAydEpiaEVMd011LWI2RWlCTXhmdVBTZEFzNEZLLXNrclNGNw?oc=5,하,,1,
수출통제,"서플러스글로벌, AI 기반 수출통제 자동화 기술 특허 등록 - 전자신문","서플러스글로벌, AI 기반 수출통제 자동화 기술 특허 등록&nbsp;&nbsp;전자신문","Mon, 01 Jun 2026 01:48:30 GMT",https://news.google.com/rss/articles/CBMiTkFVX3lxTE1rQTVVRnVlSXpTUWZBNkRXWlFiUDZxWlNCUG9iX1pMNGphNzhVNHk5Y3dDLVVrY2hPNGhGNV9HTGVZTkJPMmZQUThlN3g4UQ?oc=5,하,,1,
수출통제,"서플러스글로벌, AI 기반 수출통제 자동화 기술 특허 등록… 반도체 장비·부품 거래 안전성 강화 - 인공지능신문","서플러스글로벌, AI 기반 수출통제 자동화 기술 특허 등록… 반도체 장비·부품 거래 안전성 강화&nbsp;&nbsp;인공지능신문","Mon, 01 Jun 2026 03:25:20 GMT",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE1WWnppQkVnam1GNUVrUjlMcnNaSU9vVEdNa293MUEwTVd1UTNhTW1HN3ZtcHVuOVdyMDFvV3dpTVFNakdTdVBGZFlYSmxJNjdMVTVzMUNERjRGUTJla1Fab2E3bThwMHM?oc=5,하,,1,
