제시어,헤드라인,주요내용,발표일,출처(URL),중요도,대상 국가,점수,비고
관세,"이란發 에너지 대란에...베트남 정부, 석유제품 수입관세 철폐 - v.daum.net","이란發 에너지 대란에...베트남 정부, 석유제품 수입관세 철폐&nbsp;&nbsp;v.daum.net","Mon, 09 Mar 2026 23:01:27 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTE9pbTZzT21tamJKeU90anVYc0QxM3JGYmszNVRjU1o0b1l0VDRVNjQ5cUVCNGVjUnlYZmFCd0J3eFMtOFdFUm9sT2VxelRBU3c?oc=5,하,,6,
FTA,응오충칸 씨: 차세대 자유무역협정(FTA)은 수출 성장의 여지를 열어줍니다. - Vietnam.vn,응오충칸 씨: 차세대 자유무역협정(FTA)은 수출 성장의 여지를 열어줍니다.&nbsp;&nbsp;Vietnam.vn,"Mon, 09 Mar 2026 12:56:22 GMT",https://news.google.com/rss/articles/CBMilwFBVV95cUxOLW9EeEMxNTgteDZGNldpR1hDdENENmtxUEEwdkpXRnlTWWxET0prdTk1a0FEMFg1bE41VnVfa0JZVkxIYXlTSnRhWkVXVVNRYzFBb2ZVYXF2SlFFd1B0d25Kd1hVN2kwRXNaOGJjaEtjejZtQVM4MkJQQlMwaFVxMEx4blBsTUdIZW5CV0tjS0hBYzV6Zk4w?oc=5,하,,5,
FTA,메르코수르 FTA 협상 재개 우려…피해 한우산업 위한 선대책 강력 요구 - 농수축산신문,메르코수르 FTA 협상 재개 우려…피해 한우산업 위한 선대책 강력 요구&nbsp;&nbsp;농수축산신문,"Mon, 09 Mar 2026 01:01:27 GMT",https://news.google.com/rss/articles/CBMibEFVX3lxTFBlcEFrcWxXc1lfa0JkT2RORVlUaXEyTDI2STg4aTN6WHA0bk5oYTI2blhSN1lnR2pmQ1pSWnFUcEQ4a3dUcFFJUE9OQlZpREZLNy05STR5RkxnVTczRzdmUzkxREFUOVFDUUVQcA?oc=5,하,,4,
FTA,"韓·아세안 FTA 20년만에 업그레이드…""내달 1차 협상"" - 네이트","韓·아세안 FTA 20년만에 업그레이드…""내달 1차 협상""&nbsp;&nbsp;네이트","Mon, 09 Mar 2026 09:22:00 GMT",https://news.google.com/rss/articles/CBMiU0FVX3lxTE1iRXlaYm9Pb1RQTnY5eF9qbmJLTzRlNlRUNUpUOEFDcUh3X1p1SDlPNGdIaDAtTlctZjZhYTZyRTlrckthUXpXV0ZXTlhNN1lpbk1B?oc=5,하,,4,
FTA,"[단독]한-아세안 FTA, 20여년 만의 업그레이드….내달 1차 협상 착수 - 네이트","[단독]한-아세안 FTA, 20여년 만의 업그레이드….내달 1차 협상 착수&nbsp;&nbsp;네이트","Mon, 09 Mar 2026 06:32:00 GMT",https://news.google.com/rss/articles/CBMiU0FVX3lxTE9PQ0I0dEdodWJoM3VLeU5hSjBVVjR0dHFNX3JwSS0yZGVjZVM3VHlld3dQX3dFelJKZUl6TEZpdGlNLVNDaVpUMVBlNi13QmF3TzNR?oc=5,하,,4,
FTA,한·EFTA 자유무역협정 AI시대 맞게 현대화 필요 - 네이트,한·EFTA 자유무역협정 AI시대 맞게 현대화 필요&nbsp;&nbsp;네이트,"Mon, 09 Mar 2026 08:28:00 GMT",https://news.google.com/rss/articles/CBMiU0FVX3lxTFBfV2Y0SlpteXNzTWFDbURhR2NCWEwyaUFKMzlTQ0tWbEhWa1NCYWxqeU1nd1RmUXg0UjUzdUttYldjTDlVcV9VS2VfLUswYmt5dGNJ?oc=5,하,,4,
원산지,화요일 아침 쌀쌀·낮은 포근…강원산지 대설특보 발령 - v.daum.net,화요일 아침 쌀쌀·낮은 포근…강원산지 대설특보 발령&nbsp;&nbsp;v.daum.net,"Mon, 09 Mar 2026 08:42:02 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTE1rWnNfNWVUbnNucHRFX0Nqa2htR0ZzaDh0bE9CaXNENWVBRVNEeVNoZmMtRmg1RUc3LVpLNm1PWmNYWGMtZWtFV1FZUkh0MWM?oc=5,하,,4,
원산지,"우유, 카페·베이커리 등 외식 매장서 원산지 표기 이뤄져야 - 농수축산신문","우유, 카페·베이커리 등 외식 매장서 원산지 표기 이뤄져야&nbsp;&nbsp;농수축산신문","Mon, 09 Mar 2026 01:00:24 GMT",https://news.google.com/rss/articles/CBMibEFVX3lxTE5Bamt4NEc5RjQ5cWEzVm96ZE1COUhHelpxaDgyTC1OXzd6dmJhaWh4RS1mYlZuOGRDU0lZbFJYVVc1QUVfeUNBZk1ib0lWX0pENnFMUU9HZUZ6SFJiYll5ck9GNDBoVVM0bG1jWQ?oc=5,하,,4,
원산지,강원산지 대설주의보…내일 아침 기온 영하권 - OBS경인TV,강원산지 대설주의보…내일 아침 기온 영하권&nbsp;&nbsp;OBS경인TV,"Mon, 09 Mar 2026 08:48:23 GMT",https://news.google.com/rss/articles/CBMibkFVX3lxTE52TEJ4OVhmWFI2MEtvQkdRbjQxcUxrNlhHbDNPLUd6WWVWTjBzOE1mZ1JVVW01QU1hTDYxd0puZjgydjlKTUhBTVRDb3FLQm82a0RqTm9FM0tlQ2VKNFVhLWoyd3JPYTlUbFZmc0J3?oc=5,하,,5,
원산지,[날씨]강원산지 1~5㎝ 눈 예보…아침 영하권 기온 분포 - 강원일보,[날씨]강원산지 1~5㎝ 눈 예보…아침 영하권 기온 분포&nbsp;&nbsp;강원일보,"Mon, 09 Mar 2026 00:33:26 GMT",https://news.google.com/rss/articles/CBMiZEFVX3lxTE54RGdjX1FWS05hOFJHMi1Nd0sxT2JUS1Jfb2JwY0FOUUZhaGxDWWhpWlVrb1c0emJQVXNSRS1oNHQtTVF2ei11Q3FZbFpINm5uRjRla2JRV2ZhVFdTdGNJaXU4Vlo?oc=5,하,,4,
원산지,"'러시아 코다리, 국내산 명태로' 둔갑 식당 업주 2심도 유죄 - 뉴시스","'러시아 코다리, 국내산 명태로' 둔갑 식당 업주 2심도 유죄&nbsp;&nbsp;뉴시스","Mon, 09 Mar 2026 02:14:20 GMT",https://news.google.com/rss/articles/CBMiYEFVX3lxTFBXOXYxdzM4a2w3cmJsUkVCN3FOVVBNQ1l1elBtYU1uOGdmTHdZcVozdWRHaXQyX3QxVU5VSlJfTGEtVTZKWnBjQjk3MlF4d0ZEa2doLW9VRWRtY2NiaVNBZtIBeEFVX3lxTFBEQWVsQ29kOWtjUWc1Y05ldXJrRHVpN3VrcFk1dnVZOXhkN2hWRjRNZnRERERYQ2ZQMk9LV3JSY1MwQ1RoZUtRTVJZN3dUc3Z6Mk1oSkkzVDhlZy04T2V5Z2k4YnFjV2ZNVjA0RjlfMkxkc1lobEZReA?oc=5,하,,1,
수출통제,中정부 수출 통제 여파…텅스텐 1년새 6배 올랐다 - 한국경제,中정부 수출 통제 여파…텅스텐 1년새 6배 올랐다&nbsp;&nbsp;한국경제,"Mon, 09 Mar 2026 08:52:52 GMT",https://news.google.com/rss/articles/CBMiWkFVX3lxTFB2bkFXLXpBaFpPMkhQTjN2YnNwb2NxWTduNi1mSXlNOHVvRFZsM1hYMTlGQmx0ZDlCN1g5OHFNMWc0bENxUnFNMF9lTWRYYkdENTgtRG1YanEyQdIBVEFVX3lxTE16bGtMRU5VVnpVbFdOalMxS2NhaFNYMXRiOExlWS1jbXVhQkFMYWhtUzUzb0pjeEQwTGpOakpPMW1FS1I0c1NFczJ0amFkNldGdDA2UA?oc=5,하,,2,
수출통제,"[특징주] 삼성전자·SK하이닉스, 전쟁 속 美 AI 칩 수출 통제 검토 '급락' - 글로벌이코노믹","[특징주] 삼성전자·SK하이닉스, 전쟁 속 美 AI 칩 수출 통제 검토 '급락'&nbsp;&nbsp;글로벌이코노믹","Mon, 09 Mar 2026 00:42:40 GMT",https://news.google.com/rss/articles/CBMiiAFBVV95cUxNOUNCdFFRalNDM0hWWHNBS2dVUXowMVZFZ01qdFRUaXZLNm1iT2xtMDE3RzNabW95R3FpeURLTGFWeWxCdVMtQ0tubE80eFZtQ3oxQnBzSnVnMTF2cEJBZUFTN3djeGxOcUg0YmxONmxkMVRPN01tLXgtVDFSenYtc21ZeUVoUXJL?oc=5,하,,1,
수출통제,하나증권 “지금이 엔비디아 살 때…수출 규제·중동 리스크는 단기 노이즈” - PRESS9,하나증권 “지금이 엔비디아 살 때…수출 규제·중동 리스크는 단기 노이즈”&nbsp;&nbsp;PRESS9,"Mon, 09 Mar 2026 08:03:13 GMT",https://news.google.com/rss/articles/CBMiZEFVX3lxTFBDQzNGalBpRW16R1EwUUNhdUI0c3REWWZmMEhUWVdaZVlvdEk1d1ZMemlPaTNSVWIydUtSOVNvWUs3Zy1ITjNWU2ZTcGt4d1l6T1Znc0FmOHhPSTNwc1Y5YWtHS2c?oc=5,하,,1,
수출통제,[PRO 교육] 2026 글로벌 식품 수출 규제·컴플라이언스 마스터 과정 - 식품음료신문,[PRO 교육] 2026 글로벌 식품 수출 규제·컴플라이언스 마스터 과정&nbsp;&nbsp;식품음료신문,"Mon, 09 Mar 2026 02:11:00 GMT",https://news.google.com/rss/articles/CBMib0FVX3lxTFB0dW80bXZoRU92Z25Fc250TWFZako5TE82MkM4dENob0NTSnUxTnoyWDYxNnhvV1dOdVI5UnZwREF1Nml0OU10OWFUUVNyUUM5dHN6dFdXQXl4VUpxNjFRUHlSVFctb1A3UnFGSW9IVQ?oc=5,하,,1,
수출통제,"美, AI칩 수출 허가제 추진…韓반도체에 기회일까 위기일까 - 뉴시스","美, AI칩 수출 허가제 추진…韓반도체에 기회일까 위기일까&nbsp;&nbsp;뉴시스","Mon, 09 Mar 2026 02:37:42 GMT",https://news.google.com/rss/articles/CBMiYEFVX3lxTE9oMktON3Fld0xteXFyRXd6NDB5VURvVnhYZk5wU1pjWl8tVkZFRm44VC0tQlRaUDRrMUdrNElsby12Y1lNeUF1YmFEVUFNYXlrYjV6TERmZFlPQWRLWXZyWdIBeEFVX3lxTFBwWm9zWTZDMmNHUDZnWmoycFFoMEk5WDQxZzJLTnBXMVZrOTVlTTNfVlk5TnllOTVmVG1QaGtpNmYtUjhlR3FYa1lRMnFKVVk3NWtpSlRhamFKc29aSUZiQ08zSVZXS0dGX2RZUVNQN0k5X056RW42Vw?oc=5,하,,1,
수출통제,이란 전쟁·AI칩 수출 통제 우려에…삼전·하이닉스 '급락' - 한국경제,이란 전쟁·AI칩 수출 통제 우려에…삼전·하이닉스 '급락'&nbsp;&nbsp;한국경제,"Mon, 09 Mar 2026 00:29:13 GMT",https://news.google.com/rss/articles/CBMiWkFVX3lxTE4tU1l5bmg1Y3FmYUlJaTVxRlBNeUxaYXhjVThqLUhNQlYwYmctY2Q4YWwyMnFUejRlSjlzM0dOSXhOQnI5Rzc2cVBkUF81NG94dUxvRHJ0V1lqUdIBVEFVX3lxTFB0NEFjS3NBUnZkdXpoVVhWT3F0U1M0RndDTjh4V2FSRjc2WjFiZXNUX1dZQUlzMHU0ZUFMMVh6YXNnMXNwaHRoakVBZktEUC0yekRDdQ?oc=5,하,,2,
